############################
### DOCUMENT
# [1] M. J. Mandell and I. Katz, “Theory of Hollow Cathode Operation in Spot and Plume Modes,” 30th AIAA/ASME/SAE/ASEE Jt. Propuls. Conf., 1994.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Electron density vs. discharge current for various mass flow rates 
### DATA
# Id (A), ne (1/m3) at mdot = 1 sccm,  ne (1/m3) at mdot = 6 sccm, ne (1/m3) at mdot = 10 sccm,
### NOTES
# Lo = 0.076 cm, ro = 0.0368 cm, rc = 0.6 cm
############################
Id,ne_mdot1,ne_mdot6,ne_mdot10
7.6956,0.88837,3.22513,4.10205
7.7115,0.89201,3.23247,4.11588
7.7271,0.89277,3.23824,4.12943
7.7315,0.89275,3.23965,4.13267
7.7745,0.89156,3.25228,4.1568
7.7906,0.89201,3.25825,4.16343
7.7947,0.89236,3.26018,4.16504
7.8219,0.89759,3.28355,4.17734
7.8263,0.89879,3.28756,4.1802
7.8534,0.9056,3.30497,4.20471
7.8539,0.9057,3.30523,4.20515
7.8736,0.90849,3.31493,4.22161
7.8849,0.90953,3.31995,4.23209
7.9164,0.91155,3.33341,4.25946
7.921,0.91181,3.33547,4.26127
7.933,0.91254,3.34116,4.26506
7.9683,0.91534,3.36284,4.27523
7.9796,0.91638,3.3745,4.28
7.9999,0.91827,3.39022,4.2973
8.0111,0.91929,3.39477,4.31422
8.0121,0.91938,3.39511,4.31561
8.0426,0.92194,3.40432,4.34159
8.0631,0.92362,3.41075,4.34996
8.09,0.9261,3.42774,4.36212
8.0912,0.92622,3.42868,4.36289
8.0946,0.92658,3.43128,4.36539
8.1215,0.92976,3.4476,4.3895
8.142,0.932,3.45866,4.39901
8.1545,0.93306,3.46541,4.40376
8.1689,0.93401,3.47345,4.41003
8.1893,0.93525,3.48603,4.42527
8.2004,0.93604,3.49446,4.43741
8.2209,0.93803,3.50656,4.45978
8.2319,0.93962,3.51081,4.47163
8.2336,0.9399,3.51138,4.47338
8.2634,0.94703,3.52084,4.499
8.2841,0.95189,3.52709,4.50881
8.2968,0.95359,3.5312,4.5139
8.3108,0.95415,3.5364,4.51954
8.3314,0.95375,3.54763,4.52894
8.3582,0.95308,3.57188,4.54691
8.363,0.95311,3.575,4.55204
8.3759,0.95358,3.58123,4.56868
8.3896,0.95494,3.58652,4.58113
8.4103,0.95835,3.59553,4.59038
8.437,0.96384,3.61875,4.60166
8.4419,0.96482,3.62291,4.60707
8.4527,0.96687,3.63061,4.62904
8.455,0.96727,3.63205,4.63108
8.4892,0.97172,3.65029,4.65028
8.5001,0.97263,3.6554,4.65642
8.5316,0.97407,3.66888,4.68379
8.5341,0.97411,3.66986,4.68557
8.5366,0.97414,3.67082,4.68721
8.5789,0.97369,3.68854,4.71117
8.584,0.97372,3.69135,4.71448
8.5974,0.97411,3.69983,4.72518
8.6105,0.97493,3.70912,4.73855
8.6313,0.97675,3.72557,4.75894
8.642,0.97778,3.73441,4.76592
8.6628,0.97978,3.7461,4.77515
8.6765,0.98095,3.75118,4.78053
8.6894,0.98189,3.75545,4.78645
8.7209,0.98403,3.76511,4.81383
8.7261,0.98443,3.76663,4.8197
8.7524,0.98729,3.77498,4.84121
8.7556,0.98779,3.77627,4.84278
8.7734,0.99138,3.78716,4.8498
8.7998,0.99781,3.81776,4.86174
8.8049,0.99894,3.82138,4.86544
8.8189,1.00148,3.82685,4.87966
8.8313,1.00307,3.82959,4.89596
8.8523,1.00496,3.83507,4.917
8.8628,1.0057,3.84167,4.92333
8.8839,1.00715,3.86245,4.93252
8.898,1.00832,3.87232,4.9382
8.9102,1.00966,3.87923,4.94387
8.9312,1.01245,3.88982,4.9596
8.9417,1.01371,3.89492,4.97124
8.9612,1.01516,3.90381,4.99397
8.9732,1.01543,3.90846,5.00546
8.9786,1.01545,3.91035,5.00961
9.0047,1.01515,3.91892,5.02599
9.026,1.01494,3.93088,5.04471
9.0362,1.01504,3.95859,5.05337
9.0404,1.01516,3.96394,5.05651
9.0416,1.0152,3.96511,5.0574
9.0836,1.01941,3.98504,5.08075
9.1037,1.022,3.99207,5.08817
9.1048,1.02213,3.99248,5.08858
9.131,1.02467,4.00345,5.10128
9.1522,1.0264,4.01301,5.12372
9.1625,1.0272,4.01705,5.1355
9.1828,1.02884,4.02502,5.14951
9.194,1.02983,4.03033,5.15603
9.1996,1.03036,4.03354,5.15987
9.2255,1.03317,4.05636,5.18341
9.2311,1.03383,4.06092,5.18917
9.246,1.03568,4.06974,5.20532
9.257,1.03705,4.07437,5.21763
9.2785,1.03953,4.08145,5.2389
9.2885,1.04051,4.08433,5.245
9.3251,1.04252,4.09517,5.25951
9.3359,1.04251,4.09928,5.26554
9.3417,1.04241,4.10198,5.27002
9.3674,1.04164,4.12402,5.29976
9.3732,1.04151,4.12936,5.30509
9.399,1.04201,4.14569,5.32029
9.4043,1.04252,4.14849,5.32331
9.4205,1.04536,4.15673,5.33293
9.4463,1.05205,4.17017,5.34766
9.4675,1.0562,4.18383,5.35859
9.4679,1.05625,4.18411,5.35877
9.4936,1.05749,4.20758,5.37504
9.4994,1.05744,4.21149,5.38034
9.5251,1.05669,4.22289,5.40926
9.5467,1.0562,4.23196,5.42343
9.5468,1.0562,4.23202,5.4235
9.5567,1.05624,4.23735,5.42979
9.5882,1.05776,4.25635,5.45717
9.5941,1.0583,4.25939,5.46107
9.6258,1.06304,4.27221,5.47874
9.6355,1.06532,4.27658,5.48454
9.6415,1.06687,4.27992,5.48858
9.6671,1.07351,4.30278,5.51192
9.673,1.0747,4.3073,5.5181
9.689,1.07673,4.31551,5.53249
9.6986,1.07713,4.31932,5.5393
9.7204,1.07683,4.32783,5.55195
9.7459,1.07607,4.34051,5.56667
9.7678,1.07669,4.35521,5.5843
9.7681,1.07672,4.35552,5.58467
9.7775,1.0779,4.36393,5.59405
9.7993,1.08287,4.38258,5.61421
9.809,1.08553,4.38767,5.62143
9.8314,1.09041,4.3968,5.63522
9.8467,1.0919,4.40312,5.64362
9.8563,1.09225,4.40775,5.6488
9.894,1.09133,4.43049,5.66987
9.9037,1.0908,4.43695,5.67618
9.9105,1.09041,4.44145,5.68119
9.9352,1.08909,4.45535,5.70355
9.9413,1.08884,4.45787,5.70963
9.9888,1.09028,4.46471,5.74406
