x,20A,30A,40A,50A,60A,70A,80A,100A,90A
3.54641,,,19.99,,,,,,
3.55119,,,,19.90225,,,,,
3.5557,,,,,,,,19.13716,
3.56483,,,,19.87756,,,,,
3.57335,,,,,,,,19.10608,
3.5753,,,19.96531,,,,,,
3.57686,,,,19.85471,,,,,
3.57832,,,,,,,19.49182,,
3.59099,,,,,,,,19.05489,
3.59443,,,,,,19.6271,,,
3.5975,,,,,,,,,19.27975
3.59769,,,,,19.75142,,,,
3.59853,,,,19.84465,,,,,
3.60222,,,,,,,,19.03112,
3.6074,,,19.9324,,,,,,
3.60864,,,,,,,,19.01833,
3.61459,,,,19.83734,,,,,
3.61998,,19.28158,,,,,,,
3.62903,,,,19.809,,,,,
3.63544,,,,19.78889,,,,,
3.63592,,,,,,,,18.99273,
3.64352,,,19.9132,,,,,,
3.64584,,,,,19.68925,,,,
3.64667,,,,19.77061,,,,,
3.64899,,,,,,19.54483,,,
3.65876,,,19.88944,,,,,,
3.66251,,19.23587,,,,,,,
3.66641,,,,,,,,18.95068,
3.67477,,,,19.7706,,,,,
3.67925,,,,,,,,18.92874,
3.67962,,,19.85378,,,,,,
3.6852,,,,19.75689,,,,,
3.69381,,19.1993,,,,,,,
3.69706,,,,,,,19.30899,,
3.69968,,,19.83641,,,,,,
3.70331,,,,,,,,18.87572,
3.70446,,,,19.73038,,,,,
3.71145,19.15725,,,,,,,,
3.71158,,,,,,19.46438,,,
3.71485,,,,,19.60881,,,,
3.71776,,,,,,,,18.86658,
3.71785,,,,,,,,,19.10241
3.72291,,,,19.70204,,,,,
3.72456,,,19.80259,,,,,,
3.73333,,,,19.67005,,,,,
3.73473,,19.14994,,,,,,,
3.737,,,,,,,,18.80442,
3.75099,,,,19.64537,,,,,
3.75169,,,,,,19.40771,,,
3.75345,,,19.77334,,,,,,
3.76062,,,,19.63805,,,,,
3.76591,,,,,,,,18.81904,
3.76763,,19.10423,,,,,,,
3.78069,,,,19.63896,,,,,
3.78154,,,19.7514,,,,,,
3.78195,,,,,,,,18.77333,
3.7925,,19.06949,,,,,,,
3.798,,,,,,,,18.76053,
3.80079,,,19.72489,,,,,,
3.80476,,,,19.61063,,,,,
3.80761,,,,,,,,18.71849,
3.81604,,,19.70112,,,,,,
3.82375,,,,,,,,,18.91775
3.8239,,,,,,19.29252,,,
3.82704,,,,,,,19.1024,,
3.82718,,,,,19.46254,,,,
3.82723,,,,19.59783,,,,,
3.82941,,19.01647,,,,,,,
3.84064,,18.98356,,,,,,,
3.84305,19.00916,,,,,,,,
3.88156,,18.94517,,,,,,,
3.91607,,18.90403,,,,,,,
3.92409,18.89489,,,,,,,,
3.94737,,18.87569,,,,,,,
3.98589,,18.8373,,,,,,,
3.99471,18.81536,,,,,,,,
